time	frame	x	y	
02:18.2	-1104	"21,86"	"-15,59"	2
02:18.4	-1105	"21,86"	"-15,4"	2
02:18.5	-1106	"21,86"	"-15,22"	2
02:18.6	-1107	"21,95"	"-15,04"	2
02:18.7	-1108	"22,13"	"-14,95"	2
02:18.9	-1109	"22,31"	"-14,95"	2
02:19.0	-1110	"22,49"	"-14,94"	2
02:58.4	-1425	"22,05"	"-12,37"	3
02:58.6	-1426	"22,23"	"-12,01"	3
02:58.7	-1427	"22,59"	"-11,47"	3
02:58.8	-1428	"23,49"	"-11,46"	3
02:58.9	-1429	"24,48"	"-11,91"	3
02:59.1	-1430	"25,12"	"-12,9"	3
02:59.2	-1431	"23,95"	"-13,26"	3
02:59.3	-1432	"23,77"	"-13,53"	3
02:59.4	-1433	"23,22"	"-13,09"	3
02:59.6	-1434	"22,95"	"-13,35"	3
02:59.7	-1435	"22,59"	"-12,91"	3
02:59.8	-1436	"22,06"	"-13,81"	3
02:59.9	-1437	"21,24"	"-13,54"	3
03:00.1	-1438	"21,42"	"-13,27"	3
03:00.2	-1439	"22,14"	"-13,72"	3
03:00.3	-1440	"22,51"	"-14,62"	3
03:00.4	-1441	"22,51"	"-14,98"	3
03:00.6	-1442	"21,43"	"-15,71"	3
03:00.7	-1443	"21,34"	"-15,43"	3
03:00.8	-1444	"21,52"	"-15,61"	3
03:00.9	-1445	"21,43"	"-15,88"	3
03:01.1	-1446	"20,89"	"-16,06"	3
03:01.2	-1447	"20,35"	"-15,7"	3
03:01.3	-1448	"20,07"	"-15,25"	3
03:01.4	-1449	"19,98"	"-14,8"	3
03:01.6	-1450	"20,25"	"-13,99"	3
03:01.7	-1451	"21,15"	"-13,63"	3
03:01.8	-1452	"21,79"	"-14,08"	3
03:01.9	-1453	"21,52"	"-14,89"	3
03:02.1	-1454	"21,44"	"-14,62"	3
03:02.2	-1455	"21,53"	"-14,89"	3
03:02.3	-1456	"21,16"	"-15,43"	3
03:02.4	-1457	"20,8"	"-15,25"	3
03:02.6	-1458	"20,8"	"-15,07"	3
03:02.7	-1459	"21,34"	"-14,89"	3
03:02.8	-1460	"21,61"	"-14,98"	3
03:02.9	-1461	"21,61"	"-15,16"	3
03:03.1	-1462	"20,61"	"-14,89"	3
03:03.2	-1463	"21,15"	"-15,07"	3
03:03.3	-1464	"20,43"	"-15,8"	3
03:03.4	-1465	"20,16"	"-14,98"	3
03:03.6	-1466	"20,53"	"-14,98"	3
03:03.7	-1467	"20,62"	"-15,07"	3
03:03.8	-1468	"20,71"	"-15,16"	3
03:03.9	-1469	"19,98"	"-15,16"	3
03:04.1	-1470	"19,44"	"-14,44"	3
03:04.2	-1471	"19,62"	"-13,72"	3
03:04.3	-1472	"20,34"	"-13,72"	3
03:04.4	-1473	"20,61"	"-14,17"	3
03:04.6	-1474	"20,61"	"-14,35"	3
03:04.7	-1475	"20,7"	"-14,44"	3
03:04.8	-1476	"20,6"	"-14,53"	3
03:04.9	-1477	"20,16"	"-14,26"	3
