"Temp","Pote","Larva","Trayectoria","Time","IV"
"17","A","1",2,8.5,2.550160118706772
"17","A","1",3,8.700000047683716,0.604360792250531
"17","A","1",4,7.200000047683716,0.9266688852968112
"17","A","10",1,15.599999904632568,4.7364047468968655
"17","A","10",2,23.5,5.667608418214461
"17","A","10",3,6.099999904632568,12.008473754450366
"17","A","10",4,12.800000190734863,3.9291038755225216
"17","A","10",5,19.899999856948853,7.618957743904521
"17","A","10",6,19.09999990463257,8.408277437214625
"17","A","10",7,8.099999904632568,5.223058114906219
"17","A","10",8,6,6.10851684483932
"17","A","10",9,8.699999809265137,8.348426807220186
"17","A","2",1,8.200000047683716,2.663503900802654
"17","A","2",2,12.700000047683716,1.8472812162708703
"17","A","2",3,11.700000047683716,1.0285603339972236
"17","A","2",4,12.200000047683716,0.7717602951972748
"17","A","3",1,9,6.0090465355950196
"17","A","3",2,4.400000095367432,2.5374167355314308
"17","A","3",3,27,1.106624441630009
"17","A","4",1,7.699999809265137,1.4317091801536508
"17","A","4",2,6.5,1.3760286425944477
"17","A","4",3,5.400000095367432,0.7955836518441074
"17","A","5",1,12.5,1.0618250993478635
"17","A","5",2,27.5,1.313040998565189
"17","A","5",3,27.399999856948853,2.0205310368220077
"17","A","6",1,18.200000047683716,1.6597915797762912
"17","A","6",2,13.100000143051147,6.788608218560733
"17","A","6",3,14.400000095367432,6.275562575014794
"17","A","6",4,7.400000095367432,1.9434436504079162
"17","A","6",5,7.8999998569488525,5.565215408340506
"17","A","6",6,8,4.86333469334361
"17","A","7",1,22.399999856948853,0.6724584805639945
"17","A","7",2,9.5,1.0181813016561163
"17","A","7",3,22.799999952316284,5.45362319014687
"17","A","7",4,15.299999952316284,3.2287818062240636
"17","A","7",5,30.5,1.9063860117374771
"17","A","7",6,6.400000095367432,2.9747103938781487
"17","A","7",7,36.700000047683716,3.7030831990865076
"17","A","8",1,6.3999998569488525,7.583709957906853
"17","A","8",2,6.900000095367432,3.9189669034433106
"17","A","8",3,19.200000047683716,6.80202691403057
"17","A","8",4,4.599999904632568,17.110727935294324
"17","A","9",1,6.8999998569488525,7.6498361214064765
"17","A","9",2,49.89999985694885,7.633318964151179
"17","A","9",3,14.300000190734863,5.234920295904667
